Key,English [en-GB],French [fr],German [de],Spanish [es],Polish [pl],
Scenario_JOTL_017_RedTwilight_Modifier_1,Ending a movement in a ladder will move you to the next room.,Finir un déplacement sur l'hexagone d'une échelle vous amène à la salle suivante.,Bewegungsende auf einer Leiter versetzt dich in den nächsten Raum.,"Si acabas un movimiento en una escalera, te desplazarás hacia la siguiente sala.",Zakończenie ruchu na drabinie przeniesie cię do następnego pomieszczenia.,
Scenario_JOTL_018_TheHeist_Objective_1,Loot a number of ornate chests equal to the number of Mercenaries in the party,Pillez une quantité de Coffres Ornés égale au nombre de mercenaires au sein de la compagnie,"Plündert so viele verzierte Truhen, wie es Söldner in eurer Gruppe gibt.",Cada los mercenario del grupo debe saquear 1 cofre decorado.,"Zebrać tyle zdobionych skrzyń, ilu jest najemników w drużynie",
Scenario_JOTL_018_TheHeist_Objective_2,All mercenaries must escape through the exit.,Tous les mercenaires doivent parvenir à s'enfuir par la sortie.,Alle Söldner müssen durch den Ausgang entkommen.,Todos los mercenarios deben escapar por la salida.,Wszyscy najemnicy muszą uciec przez wyjście.,
Scenario_JOTL_019_DenOfThieves_Objective_1,Destroy all nests,Détruisez tous les nids,Zerstört alle Nester.,Destruir todos los nidos.,Zniszczyć wszystkie gniazda,
Scenario_JOTL_019_DenOfThieves_Objective_2,Loot all chests,Pillez tous les coffres,Erbeutet alle Truhen.,Saquear todos los cofres.,Zebrać wszystkie skrzynie,
Scenario_JOTL_019_DenOfThieves_Nest,Nest,Nid,Nest,Nido,Gniazdo,
Scenario_JOTL_020_MisplacedGoods_Objective_1,Find all goods,Trouvez toutes les marchandises,Findet alle Waren.,Encontrar todas las mercancías.,Znaleźć wszystkie towary,
Scenario_JOTL_020_MisplacedGoods_Objective_2,Kill all revealed enemies,Tuez tous les adversaires révélés,Tötet alle entdeckten Gegner.,Matar a todos los enemigos revelados.,Zabić wszystkich ujawnionych wrogów,
Scenario_JOTL_020_MisplacedGoods_Goods,Goods,Marchandises,Waren,Mercancías,Towary,
Scenario_JOTL_021_AgentsOfChaos_Objective_1,Kill all Demons,Tuez tous les Démons,Tötet alle Dämonen.,Elimina a todos los demonios.,Zabić wszystkie demony,
Scenario_JOTL_021_AgentsOfChaos_Table,Urn,Urne,Urne,Mesa,Urna,
Scenario_JOTL_021_AgentsOfChaos_Modifier_1,"Whenever an urn is destroyed, anyone adjacent to it suffers 1 damage.","Quand une urne est détruite, tous les personnages adjacents subissent 1 dégât.","Wird eine Urne zerstört, erleiden alle Angrenzenden 1 Schaden.","Cuando se destruye una mesa, todas las figuras adyacentes sufren 1 de daño.","Za każdym razem gdy zostanie zniszczona urna, każdy kto z nią sąsiaduje otrzyma 1 obrażenie.",
Scenario_JOTL_021_AgentsOfChaos_Modifier_2,"While the Entropy Demon is alive, at the end of each turn mercenaries will suffer damage equal to Scenario level divided by 2 (rounded down) for each hex they moved in the rooms leading to the Entropy demon.","Tant que le Démon Entropique est en vie, à la fin de chaque tour, les mercenaires subissent des dégâts égaux à la moitié du niveau du scénario (arrondi à l'inférieur) pour chaque hexagone qu'ils ont traversé dans les salles menant au Démon Entropique.","Solange der Entropiedämon lebt, erleiden Söldner am Ende jedes Zuges für jedes Feld, das sie sich in den Räumen zum Entropiedämon bewegt haben, Schaden in Höhe der Szenariostufe geteilt durch 2 (abgerundet).","Al final de cada turno, mientras el Demonio de entropía esté vivo, los mercenarios sufren un daño igual a la mitad de su nivel del escenario (redondeando hacia abajo) por cada hexágono por el que se muevan en las salas que llevan al Demonio de entropía.",Dopóki Demon Entropii żyje na koniec każdej tury najemnicy będą otrzymywać obrażenia równe poziomowi scenariusza podzielone na 2 (zaokrąglając w dół) za każde pole pokonane w pomieszczeniach prowadzących do Demona Entropii.,
Scenario_JOTL_021_AgentsOfChaos_Modifier_3,The Chaos Demon reduces Giant Vipers HP to 1 and grants them Shield and Retaliate.,"Le Démon du Chaos fait tomber les Vipères Géantes à 1 PV, mais leur confère Bouclier et Riposte.",Der Chaosdämon verringert die TP der Riesenvipern auf 1 und gewährt den Riesenvipern Schild und Vergeltung.,El Demonio de caos reduce los PV de la Víbora gigante a 1 y le confiere Escudo y Represalia.,Demon Chaosu zmniejsza PŻ Olbrzymich Żmii do 1 i daje im Tarczę oraz Odwet.,
Scenario_JOTL_021_AgentsOfChaos_Modifier_4,"Until the Chaos Demon in this room dies, Giant Vipers' hit points are reduced to 1 and they gain Shield and Retaliate.","Tant que le Démon du Chaos de cette salle est en vie, les Vipères Géantes de cette salle ont 1 PV, mais bénéficient de Bouclier et Riposte.","Bis der Chaosdämon in diesem Raum stirbt, sind die TP der Riesenvipern auf 1 verringert, und die Riesenvipern erhalten Schild und Vergeltung.","Hasta que el Demonio de caos de esta sala muera, los puntos de vida de las Víboras gigantes se reducen a 1 y obtienen Escudo y Represalia.","Dopóki Demon Chaosu w tym pomieszczeniu nie zginie, Olbrzymie Żmije mają po 1 punkcie życia, a także zyskują Tarczę oraz Odwet.",
Scenario_JOTL_022_UnfriendlyMessage_Objective_1,Kill the Stone Golem,Tuez le Golem de Pierre,Tötet den Steingolem,Matar al Gólem de piedra.,Zabić Kamiennego Golema,
Scenario_JOTL_022_UnfriendlyMessage_Modifier_2,Vermling Raiders will not move and all their melee attacks are Range 3 instead,"Les Pillards Vermlings ne bougent pas, et leurs attaques au corps à corps ont une Portée de 3.","Ratzen-Räuber bewegen sich nicht, und ihre Nahkampfangriffe haben stattdessen eine Reichweite von 3.",Los Asaltantes infestores no se moverán y sus ataques cuerpo a cuerpo tienen Alcance 3.,"Szczuroki Grabieżcy nie będą się ruszać, a ich ataki wręcz mają zamiast tego Zasięg 3",
Scenario_JOTL_022_UnfriendlyMessage_Modifier_1,"At the start of every round after the first, the Golem suffers damage equal to the number of Characters / 2 (rounded down), then spawns two Giant Vipers adjacent to it.","Au début de chaque round après le premier, le Golem subit des dégâts égaux à la moitié du nombre de personnages (arrondi à l'inférieur), après quoi il génère deux Vipères Géantes sur des hexagones adjacents.",Ab der zweiten Runde erleidet der Golem zu Beginn jeder Runde Schaden in Höhe der Anzahl der Charaktere geteilt durch 2 (abgerundet) und erzeugt dann zwei Riesenvipern auf angrenzenden Feldern.,"Al comienzo de cada ronda, después de la primera ronda, el Gólem sufre un daño igual al número de figuras dividido entre 1 (redondeando hacia abajo) y, después, 2 Víboras gigantes aparecen adyacentes a él.","Na początku każdej rundy po pierwszej Golem otrzymuje obrażenia równe liczbie postaci podzielone przez 2 (zaokrąglając w dół), a następnie w jego sąsiedztwie pojawia się Olbrzymia Żmija.",
Scenario_JOTL_022_UnfriendlyMessage_Objective_2,Lose if the Red Guard becomes exhausted,Vous perdez si le Garde Rouge devient épuisé,"Du verlierst, sobald der Rotgardist erschöpft ist.",Pierdes si el Guardia rojo queda agotado.,"Przegrana, jeśli Czerwony Strażnik padnie z wyczerpania",
Scenario_JOTL_023_BestOfTheBest_Objective_1,Lose if the Hatchet leaves the Arena,Vous perdez si le Lanceur de haches quitte l'arène,"Du verlierst, wenn der Axtwerfer die Arena verlässt.",Pierdes si el Ejecutor abandona el estadio.,"Przegrana, jeśli Topór opuści Arenę",
Scenario_JOTL_023_BestOfTheBest_Objective_3,Lose if another mercenary enters the Arena,Vous perdez si un autre mercenaire entre dans l'arène,"Du verlierst, wenn ein anderer Söldner die Arena betritt.",Pierdes si otro mercenario accede al estadio.,"Przegrana, jeśli inny najemnik wejdzie na Arenę",
Scenario_JOTL_023_BestOfTheBest_Objective_2,Lose if the Hatchet becomes exhausted,Vous perdez si le Lanceur de haches devient épuisé,"Du verlierst, sobald der Axtwerfer erschöpft ist.",Pierdes si el Ejecutor queda agotado.,"Przegrana, jeśli Topór padnie z wyczerpania",
Scenario_JOTL_023_BestOfTheBest_Objective_4,Kill all enemies in the arena,Tuez tous les adversaires dans l'arène,Töte alle Gegner in der Arena.,Elimina a todos los enemigos del estadio.,Zabić wszystkich wrogów na arenie,
Scenario_JOTL_023_BestOfTheBest_Modifier_1,Fans cheer for the Hatchet or the enemies.,Les spectateurs encouragent le Lanceur de haches ou ses adversaires.,Das Publikum feuert entweder den Axtwerfer oder die Gegner an.,Los espectadores animarán al Ejecutor o a los enemigos.,Kibice dopingują Toporowi albo jego wrogom,
Scenario_JOTL_023_BestOfTheBest_Modifier_2,The Hatchet and the enemies get a bonus to their attacks if they have more fans.,Le Lanceur de haches et ses adversaires gagnent un bonus à leurs attaques s'ils ont davantage de fans.,"Entweder der Axtwerfer oder die Gegner erhalten einen Angriffsbonus, sobald der Großteil des Publikums auf ihrer Seite steht.","Cuando el Ejecutor o los enemigos tengan la mayoría de los espectadores animándolos, añaden una bonificación a sus ataques.","Topór oraz przeciwnicy otrzymują premię do ataków, jeśli mają więcej kibiców.",
Scenario_JOTL_023_BestOfTheBest_Modifier_3,Deal lethal damage to enemy cheering fans to make them cheer for Hatchet. Heal abilities also damage enemy fans.,Infligez des dégâts mortels aux fans des adversaires pour les convaincre d'encourager le Lanceur de haches à la place. Les capacités de soins infligent également des dégâts aux fans des adversaires.,"Füge Anhängern der Gegner tödlichen Schaden zu, damit sie für den Axtwerfer jubeln. Heilfertigkeiten bewirken ebenfalls Schaden bei gegnerischen Anhängern.",Inflige daño letal a los espectadores que animen a los enemigos para que animen al Ejecutor. Las capacidades de Curación también infligen daño a los espectadores enemigos.,"Zadaj zabójcze obrażenia kibicom dopinugującym wrogim, aby zaczęli kibicować Toporowi. Zdolności leczenia również zadają obrażenia kibicom.",
Scenario_JOTL_023_BestOfTheBest_Modifier_4,"If any other mercenary than the Hatchet damages an enemy, or an enemy damages Hatchet, a fan will start cheering the enemies.","Si un mercenaire autre que le Lanceur de haches attaque un adversaire, ou si ce dernier inflige des dégâts au Lanceur de haches, un fan se met à encourager l'adversaire.","Fügt ein anderer Söldner als der Axtwerfer einem Gegner Schaden zu oder fügt ein Gegner dem Axtwerfer Schaden zu, läuft ein Anhänger zu den Gegnern über.","Si cualquier mercenario que no sea el Ejecutor ataca a un enemigo, o bien un enemigo ataca al Ejecutor, los espectadores animarán a los enemigos.","Jeśli dowolny najemnik poza Toporem zada obrażenia przeciwnikowi albo przeciwnik zrani Topora, kibice zaczną dopingować przeciwnikom.",
Scenario_JOTL_023_BestOfTheBest_Modifier_5,"All enemies have Hatchet as their focus.
When new enemies spawn more fans will start cheering the enemies.","Tous les adversaires concentrent leurs attaques sur le Lanceur de haches.
 Quand de nouveaux adversaires apparaissent, davantage de spectateurs se mettent à les encourager.","Alle Gegner haben den Axtwerfer als Fokus.
 Wenn neue Gegner erscheinen, feuern mehr Anhänger die Gegner an.","Todos los enemigos tomarán como objetivo a Ejecutor.
 Cuando aparezcan nuevos enemigos, recibirán los vítores de más espectadores.","Topór jest celem skupienia wszystkich przeciwników.
Kiedy pojawią się nowi przeciwnicy, więcej kibiców zacznie im kibicować.",
Scenario_JOTL_023_BestOfTheBest_Modifier_6,Convert Heal to Damage if targeting Fan,Les soins sont convertis en dégâts si vous visez les fans.,"Verwandle Heilung in Schaden, wenn ein Anhänger das Ziel ist.","Si se toma como objetivo a un espectador, la Curación se convierte en daño.","Zamień leczenie w obrażenia, jeśli celem jest Kibic",
Scenario_JOTL_023_BestOfTheBest_Modifier_7,<nobr>+{0} Attack <sprite name=Attack> from Fans,<nobr>+{0} en Attaque <sprite name=Attack> de la part des fans,<nobr>+{0} Angriff <sprite name=Attack> von Anhängern,<nobr>Ataque +{0} <sprite name=Attack> de los espectadores,<nobr>+{0} do Ataku <sprite name=Attack> od Kibiców,
Scenario_JOTL_024_WardingTheVoid_Objective_1,Lose if any wards are destroyed,Vous perdez si le moindre sceau est détruit,"Du verlierst, wenn ein Schutzzeichen zerstört wird.",Pierdes si se destruye cualquier tótem.,"Przegrana, jeśli zniszczona zostanie dowolna bariera",
Scenario_JOTL_024_WardingTheVoid_Objective_2,Lose if the Voidwarden becomes exhausted,Vous perdez si la Gardienne du Néant devient épuisée,"Du verlierst, sobald die Leerehüterin erschöpft ist.",Pierdes si la Centinela del Vacío queda agotada.,"Przegrana, jeśli Pustkowicielka padnie z wyczerpania",
Scenario_JOTL_024_WardingTheVoid_Ward,Ward,Sceau,Schutzzeichen,Tótem,Bariera,
Scenario_JOTL_024_WardingTheVoid_Modifier_1,"Any time a ward would suffer damage, any mercenary may burn a card from their hand or two from their discard pile to negate the damage.","Chaque fois qu'un sceau devrait subir des dégâts, un mercenaire peut les annuler en détruisant une carte de sa main ou deux de sa défausse.","Wann immer ein Schutzzeichen Schaden nehmen würde, kann ein beliebiger Söldner eine Handkarte oder zwei abgeworfene Karten verbrennen, um den Schaden zu vermeiden.","Cada vez que un Tótem vaya a sufrir daño, cualquier mercenario puede quemar 1 carta de su mano o 2 de su pila de descartes para prevenir el daño.","Za każdym razem gdy bariera otrzymuje obrażenia, dowolna postać może spalić kartę z ręki albo dwie ze stosu odrzuconych, aby zanegować obrażenia.",
Scenario_JOTL_024_WardingTheVoid_Modifier_2,All mercenaries in a black sand hex suffers Scenario Level / 2 + 1 (rounded up) at the end of each round.,Tous les mercenaires se trouvant sur un hexagone avec du sable noir subissent des dégâts égaux à 1 plus la moitié du niveau du scénario (arrondi au supérieur) à la fin de chaque round.,Alle Söldner auf schwarzen Sandfeldern erleiden am Ende jeder Runde Schaden in Höhe der Szenariostufe geteilt durch 2 plus 1 (aufgerundet).,"Todos los mercenarios que ocupen un hexágono de arena negra al final de una ronda, sufren un daño igual a la mitad del nivel del escenario + 1 (redondeando hacia arriba).",Na koniec każdej rundy wszyscy najemnicy na czarnym piasku otrzymują obrażenia równe poziomowi scenariusza / 2 + 1 (zaokrąglając w górę).,
