Keys,English [en-GB],French [fr],German [de],Spanish [es],Polish [pl]
Scenario_SOLO_Elementalist_ElementalSecrets_Modifier_1,"Each round an element will be set to strong in this repeating order: Air, Ice, Earth and Fire","Chaque round, un élément est Fort, dans l'ordre suivant : Air, Glace, Terre, puis Feu","In jeder Runde ist ein Element in folgender Reihenfolge besonders stark: Luft, Eis, Erde, Feuer.","Cada ronda, se reforzará un elemento en este orden cíclico: aire, hielo, tierra y fuego.","Na początku rundy jeden żywioł stanie się silny w następującej, powtarzającej się kolejności: Powietrze, Lód, Ziemia i Ogień"
Scenario_SOLO_Elementalist_ElementalSecrets_Modifier_2,You will be able to choose your ability cards after revealng the enemy ability cards,Vous pourrez choisir vos cartes de capacité après avoir révélé celles de l'adversaire,"Du kannst deine Fertigkeitskarten auswählen, wenn die gegnerischen Fertigkeitskarten aufgedeckt wurden.",Podrás elegir tus cartas de Capacidad después de revelar las del enemigo.,Możesz wybrać swoje karty zdolności po ujawnieniu zdolności przeciwników
Scenario_SOLO_BeastTyrant_TheCagedBear_Modifier_1,"Obstacles in this scenarios cannot be moved through, even with jump or flying, and can not be destroyed or moved","Les obstacles de ce scénario ne peuvent pas être franchis, même en sautant ou en volant par-dessus, et il n'est pas non plus possible de les détruire ou de les déplacer",In diesem Szenario kannst du dich auch durch Springen oder Fliegen nicht durch die Hindernisse bewegen. Du kannst sie weder zerstören noch bewegen.,"No es posible atravesar los obstáculos de estos escenarios, ni siquiera saltando o volando, y tampoco puedes destruirlos ni moverlos.","W tym scenariuszu nie można przemieszczać się przez przeszkody, nawet skokiem lub lataniem. Nie można ich także przesunąć ani zniszczyć"
Scenario_SOLO_BeastTyrant_TheCagedBear_Modifier_2,The bottom action of Disorienting Roar cannot be used.,L'action inférieure de Rugissement Perturbant ne peut pas être utilisée,"Die untere Aktion von ""Verwirrendes Brüllen"" kann nicht verwendet werden.",No se puede usar la acción inferior de Rugido desorientador.,Nie można użyć dolnej akcji z karty Dezorientujący Ryk.
Scenario_SOLO_ObjectiveKillAll,Kill all enemies,Tuez tous les adversaires,Töte alle Gegner.,Elimina a todos los enemigos.,Zabij wszystkich wrogów
Scenario_SOLO_Spellweaver_CorruptedLaboratory_Objective_2,Reach the exit tiles with the spellweaver,Atteignez les tuiles de sortie avec la Tisse-Sort,Erreiche die Ausgangsfelder mit der Spruchweberin.,Llega a las salidas con la Tejedora de hechizos.,Dotrzyj Tkaczką Zaklęć do pola wyjścia
Scenario_SOLO_Spellweaver_CorruptedLaboratory_Objective_1,Loot the ornate chest,Pillez le Coffre Orné,Erbeute die verzierte Truhe.,Saquea el cofre decorado.,Zbierz zdobioną skrzynię
Scenario_SOLO_Spellweaver_CorruptedLaboratory_Modifier_1,Kill the Stone Golem to unlock the door,Tuez le Golem de Pierre pour déverrouiller la porte,"Töte den Steingolem, um die Tür zu öffnen.",Mata al Gólem de piedra para abrir la puerta.,"Zabij Kamiennego Golema, aby otworzyć drzwi"
Scenario_SOLO_Sunkeeper_CaravanEscort_AllyGuardsModifier,"All ally City Guards act on initiative 99 performing a Move+0, Attack+0 based on their stats","Tous les Gardes de la Cité alliés agissent avec une initiative de 99 et effectuent une action Déplacement +0, Attaque +0 en fonction de leurs caractéristiques",Alle verbündeten Stadtwachen handeln beim Initiativewert 99 mit Bewegung +0 und Angriff +0 auf Basis ihrer Werte.,"Todos los guardias de la ciudad aliados actúan con iniciativa 99 para realizar un Movimiento+0, Ataque+0 según sus atributos.","Wszyscy Strażnicy Miejscy będący sojusznikami działają z inicjatywą 99 i wykonują akcje Ruch+0, Atak+0 w oparciu o swoje statystyki"
Scenario_SOLO_Soothsinger_BattleOfTheBards_AllyBanditsModifier,"All ally Bandits act on initiative 49 performing a Move+0, Attack+0 based on their stats","Tous les Bandits alliés agissent avec une initiative de 49 et effectuent une action Déplacement +0, Attaque +0 en fonction de leurs caractéristiques",Alle verbündeten Banditen handeln beim Initiativewert 49 mit Bewegung +0 und Angriff +0 auf Basis ihrer Werte.,"Todos los bandidos aliados actúan con iniciativa 49 para realizar un Movimiento+0, Ataque+0 según sus atributos.","Wszyscy Bandyci będący sojusznikami działają w inicjatywie 49 i wykonują akcje Ruch+0, Atak+0 w oparciu o swoje statystyki"
Scenario_SOLO_Berserker_UnnaturalInstincts_Objective_2,Kill all revealed enemies to open the doors,Tuez tous les adversaires révélés afin d'ouvrir les portes,"Töte alle entdeckten Gegner, um die Türen zu öffnen.",Mata a todos los enemigos revelados para abrir las puertas.,"Zabij wszystkich ujawnionych wrogów, aby otworzyć drzwi"
Scenario_SOLO_Nightshroud_HarvestingTheNight_objective_1,Kill 6 Night Demons,Tuez 6 Démons de la Nuit,Töte sechs Nachtdämonen.,Mata a 6 demonios de noche.,Zabij 6 Demonów Nocy
Scenario_SOLO_Cragheart_StoneDefense_Objective_1,Survive six rounds,Survivez pendant 6 rounds,Überlebe sechs Runden.,Sobrevive durante 6 rondas.,Przetrwaj 6 rund
Scenario_SOLO_Cragheart_StoneDefense_Objective_2,Kill all revealed enemies,Tuez tous les adversaires révélés,Töte alle entdeckten Gegner.,Mata a todos los enemigos revelados.,Zabij wszystkich ujawnionych wrogów
Scenario_SOLO_Plagueherald_PlaguedCrypt_Modifier_1,Starting at Round 2 a door will open every 3 Rounds in clockwise order from the last one,"À partir du round 2, une porte s'ouvre tous les 3 rounds, dans le sens des aiguilles d'une montre à partir de la dernière porte ouverte",Ab Runde 2 öffnet sich alle drei Runden eine Tür im Uhrzeigersinn ab der letzten.,"A partir de la ronda 2, cada 3 rondas, se irá abriendo la puerta siguiente en el sentido contrario al de las agujas del reloj.",Począwszy od 2 rundy drzwi będą otwierać się co 3 rundy w kolejności zgodnej z ruchem zegara od ostatnich
GhostWolf,Ghost Wolf,Esprit du Loup,Geisterwolf,Lobo fantasma,Zjawa Wilka
SpiritBear,Spirit Bear,Esprit de l'Ours,Seelenbär,Oso espíritu,Widmowy Niedźwiedź
DeepEarth,Deep Earth,Terre Profonde,Tiefenerde,Tierra profunda,Ziemiorodny
EarthLord,Earth Lord,Seigneur de la Terre,Erdfürst,Amo de la tierra,Ziemny Władca
SongOfTheDeep,Song Of The Deep,Chant des Profondeurs,Tiefenlied,Canción de las profundidades,Pieśń Otchłani
HighFlame,High Flame,Haute Flamme,Hochflamme,Llama suprema,Ogniorodny
VermlingDruid,Vermling Druid,Druidesse Vermling,Ratzendruide,Druida infestor,Szczurok Druid
InoxNecromancer,Inox Necromancer,Nécromancien Inox,Inox-Nekromant,Nigromante inox,Inoks Nekromanta
SpiritOfXorn,Spirit Of Xorn,Esprit de Xorn,Geist von Xorn,Espíritu de Xorn,Duch Xorna
Rikharn,Rikharn,Rikharn,Rikharn,Rikharn,Rikharn
WoundedGuard,Wounded Guard,Garde Blessé,Verwundete Wache,Guardia herido,Ranny strażnik
Lieutenant,Lieutenant,Lieutenant,Leutnant,Teniente,Porucznik
588606,Summon one Normal Living Corpse if the target is not immune to DISARM <sprite name=Disarm>,Invoque un Cadavre Réanimé Normal si la cible n'est pas immunisée contre DÉSARMEMENT <sprite name=Disarm>,"Beschwöre eine normale wandelnde Leiche, wenn das Ziel nicht immun gegen ENTWAFFNEN <sprite name=Disarm> ist.",Invoca un Cadáver viviente normal si el objetivo no es inmune a DESARME <sprite name=Disarm>.,"Przywołaj jedne zwykłe Ożywione Zwłoki, jeśli cel nie jest niewrażliwy na ROZBROJENIE <sprite name=Disarm>"
589606,Summon one Normal Living Corpse if the target is not immune to IMMOBILIZE <sprite name=Immobilize>,Invoque un Cadavre Réanimé Normal si la cible n'est pas immunisée contre IMMOBILISATION <sprite name=Immobilize>,"Beschwöre eine normale wandelnde Leiche, wenn das Ziel nicht immun gegen LÄHMUNG <sprite name=Immobilize> ist.",Invoca un Cadáver viviente normal si el objetivo no es inmune a INMOVILIZACIÓN <sprite name=Immobilize>.,"Przywołaj jedne zwykłe Ożywione Zwłoki, jeśli cel nie jest niewrażliwy na UNIERUCHOMIENIE <sprite name=Disarm>"
595606,Summon one Normal Living Corpse if the target is not immune to CURSE <sprite name=Curse>,Invoque un Cadavre Réanimé Normal si la cible n'est pas immunisée contre MALÉDICTION <sprite name=Curse>,"Beschwöre eine normale wandelnde Leiche, wenn das Ziel nicht immun gegen FLUCH <sprite name=Curse> ist.",Invoca un Cadáver viviente normal si el objetivo no es inmune a MALDICIÓN <sprite name=Curse>.,"Przywołaj jedne zwykłe Ożywione Zwłoki, jeśli cel nie jest niewrażliwy na KLĄTWĘ <sprite name=Disarm>"
ADVENTURE_ACHIEVEMENT_1_1_BeastTyrantItem,Command and Conquer,Conquête et commandement,Befehligen und Erobern,Conquista y aniquilación,Prowadź i podbijaj
ADVENTURE_ACHIEVEMENT_1_1_BeastTyrantItem_Desc,Complete the Beast Tyrant's second Story Quest,Accomplissez la deuxième quête narrative du Maître des Bêtes,Schließe die zweite Storyquest des Bestienmeisters ab.,Completa la segunda misión de historia del Señor de las bestias.,Wykonaj drugą misję fabularną Władcy Bestii
ADVENTURE_ACHIEVEMENT_1_1_BerserkerItem,Masquerade,Mascarade,Maskerade,Mascarada,Maskarada
ADVENTURE_ACHIEVEMENT_1_1_BerserkerItem_Desc,Complete the Berserker's second Story Quest,Accomplissez la deuxième quête narrative de la Berserker,Schließe die zweite Storyquest der Berserkerin ab.,Completa la segunda misión de historia de la Berserker.,Wykonaj drugą misję fabularną Berserkerki
ADVENTURE_ACHIEVEMENT_1_1_BruteItem,The Flashing Blade,La lame dansante,Blitzklinge,Hoja refulgente,Błyskające ostrze
ADVENTURE_ACHIEVEMENT_1_1_BruteItem_Desc,Complete the Brute's second Story Quest,Accomplissez la deuxième quête narrative de la Brute,Schließe die zweite Storyquest des Barbaren ab.,Completa la segunda misión de historia del Salvaje.,Wykonaj drugą misję fabularną Karka
ADVENTURE_ACHIEVEMENT_1_1_CragheartItem,Charm Offensive,Offensive de charme,Charme-Offensive,Ofensiva cautivadora,Urocza ofensywa
ADVENTURE_ACHIEVEMENT_1_1_CragheartItem_Desc,Complete the Cragheart's second Story Quest,Accomplissez la deuxième quête narrative du Cœur de Roche,Schließe die zweite Storyquest des Felsenherz' ab.,Completa la segunda misión de historia del Corazón hueco.,Wykonaj drugą misję fabularną Skałosercego
ADVENTURE_ACHIEVEMENT_1_1_DoomstalkerItem,Hunting High and Low,Chasse mortelle,Auf der Jagd,Caza mayor y menor,Dzikie łowy
ADVENTURE_ACHIEVEMENT_1_1_DoomstalkerItem_Desc,Complete the Doomstalker's second Story Quest,Accomplissez la deuxième quête narrative du Condamneur,Schließe die zweite Storyquest des Schicksalsläufers ab.,Completa la segunda misión de historia del Cazador silencioso.,Wykonaj drugą misję fabularną Siewcy Zguby
ADVENTURE_ACHIEVEMENT_1_1_ElementalistItem,Elementary,Élémentaire,Elementare Bedürfnisse,Elementería,To elementarne
ADVENTURE_ACHIEVEMENT_1_1_ElementalistItem_Desc,Complete the Elementalist's second Story Quest,Accomplissez la deuxième quête narrative de l'Élémentaliste,Schließe die zweite Storyquest des Elementaristen ab.,Completa la segunda misión de historia del Elementalista.,Wykonaj drugą misję fabularną Elementalisty
ADVENTURE_ACHIEVEMENT_1_1_MindthiefItem,Twist of the Knife,Au fil de la dague,Tödliches Messer,Cuchillada retorcida,Skręt noża
ADVENTURE_ACHIEVEMENT_1_1_MindthiefItem_Desc,Complete the Mindthief's second Story Quest,Accomplissez la deuxième quête narrative de la Perce-Esprit,Schließe die zweite Storyquest der Gedankendiebin ab.,Completa la segunda misión de historia de la Ladrona mental.,Wykonaj drugą misję fabularną Myślołapki
ADVENTURE_ACHIEVEMENT_1_1_NightshroudItem,Up in Smoke,Parti en fumée,In Rauch aufgehen,Entre el humo,Przeminęło z dymem
ADVENTURE_ACHIEVEMENT_1_1_NightshroudItem_Desc,Complete the Nightshroud's second Story Quest,Accomplissez la deuxième quête narrative du Voilsombre,Schließe die zweite Storyquest von Nachtschleier ab.,Completa la segunda misión de historia del Sudario Nocturno.,Wykonaj drugą misję fabularną Nocarza
ADVENTURE_ACHIEVEMENT_1_1_PlagueheraldItem,Xorn Again,Le retour de Xorn,Xorn schon wieder,Otra vez Xorn,Znowu Xorn
ADVENTURE_ACHIEVEMENT_1_1_PlagueheraldItem_Desc,Complete the Plagueherald's second Story Quest,Accomplissez la deuxième quête narrative du Héraut du Fléau,Schließe die zweite Storyquest des Seuchenbringers ab.,Completa la segunda misión de historia del Heraldo de la plaga.,Wykonaj drugą misję fabularną Piewcy Zarazy
ADVENTURE_ACHIEVEMENT_1_1_QuartermasterItem,Belt and Braces,Inventaire mensuel,Gürtel und Hosenträger,Correas y ataduras,Pasy i zapasy
ADVENTURE_ACHIEVEMENT_1_1_QuartermasterItem_Desc,Complete the Quartermaster's second Story Quest,Accomplissez la deuxième quête narrative de l'Intendant,Schließe die zweite Storyquest des Quartiermeisters ab.,Completa la segunda misión de historia del Intendente.,Wykonaj drugą misję fabularną Kwatermistrza
ADVENTURE_ACHIEVEMENT_1_1_SawbonesItem,Doctor's Orders,Sur ordre du médecin,Ärztlicher Rat,Órdenes del médico,Recepta
ADVENTURE_ACHIEVEMENT_1_1_SawbonesItem_Desc,Complete the Sawbones's second Story Quest,Accomplissez la deuxième quête narrative du Charcuteur,Schließe die zweite Storyquest des Knochenflickers ab.,Completa la segunda misión de historia del Matasanos.,Wykonaj drugą misję fabularną Łapiducha
ADVENTURE_ACHIEVEMENT_1_1_ScoundrelItem,Silent but Deadly,Silencieux mais mortel,Stumm und tödlich,Silencioso pero letal,Cichy lecz zabójczy
ADVENTURE_ACHIEVEMENT_1_1_ScoundrelItem_Desc,Complete the Scoundrel's second Story Quest,Accomplissez la deuxième quête narrative de la Crapule,Schließe die zweite Storyquest der Schurkin ab.,Completa la segunda misión de historia de la Pícara.,Wykonaj drugą misję fabularną Szelmy
ADVENTURE_ACHIEVEMENT_1_1_SoothsingerItem,Take the Lute,De haute « luth »,Her mit der Laute,El arte del laúd,Lutnij z lutni
